"GiftId","TripId"
69548,1
48886,1
13870,1
59714,1
69843,1
46647,1
95199,1
83725,1
79668,1
49420,1
35632,1
87231,1
19588,1
78958,1
57340,1
97777,1
20349,1
31035,1
21432,1
60842,1
12839,1
30284,1
70288,1
11697,1
15500,1
97727,1
795,1
16207,1
31732,1
44698,1
96135,1
49281,1
82445,1
90949,1
87562,1
87306,1
52203,1
64190,1
87304,1
24320,1
24899,1
41784,1
31380,1
41398,1
48032,1
75900,1
2584,1
99340,1
59939,1
202,1
42478,1
26949,1
31043,1
71685,1
90746,1
2924,1
33408,1
71077,1
64717,1
27507,1
21641,1
44197,1
16246,1
99316,1
46597,1
83461,1
27977,1
12657,1
21547,1
78516,1
78661,1
88936,2
71065,2
94257,2
55433,2
82110,2
26351,2
2545,2
78963,2
85442,2
78775,2
93817,2
43649,2
97858,2
98318,2
25090,2
44870,2
14369,2
12301,2
76890,2
95464,2
23367,2
65051,2
84832,2
60800,2
9124,2
21450,2
96588,2
14522,2
12683,2
23273,2
93277,2
58612,2
19968,2
51708,2
68927,2
8501,2
51560,2
19950,2
88027,2
59950,2
9093,2
15227,2
7011,2
15722,2
93214,2
24597,2
67285,2
23245,2
99719,2
75125,2
82823,2
88229,2
4716,2
87938,2
76,2
24761,2
30566,2
86674,2
10044,2
2036,2
11666,2
88180,2
20844,2
56013,2
91368,2
35681,2
95184,2
34682,2
33158,2
81783,2
60453,2
34227,2
57735,2
30623,2
96170,2
30357,2
74449,2
4947,2
9619,2
39039,2
843,2
92683,2
6429,2
72193,2
79655,3
12002,3
19539,3
42692,3
37291,3
42727,3
75448,3
99412,3
27048,3
61297,3
10771,3
27447,3
84074,3
53630,3
94016,3
33305,3
59629,3
44057,3
97466,3
2058,3
19925,3
9096,3
16226,3
19200,3
30849,3
93596,3
54001,3
43974,3
29648,3
6438,3
65322,3
67013,3
47425,3
45138,3
4188,3
33123,3
50049,3
10130,3
4728,3
24665,3
57137,3
87610,3
17279,3
3273,3
60333,3
57126,3
6408,3
74173,3
24490,3
64716,3
41593,3
86855,3
83463,3
30617,3
66762,3
32048,3
84038,3
26057,3
64123,3
54702,3
10459,3
22912,3
83274,3
45663,3
16761,3
96803,3
91081,3
50567,3
